ID,Año,Fecha,Publicacion,Fecha o numero fuente,Tipo documental,Ruta,Estado del indice real,Calidad de lectura,Entradas curadas,Pasajes automaticos,Pasajes OCR,Paginas detectadas,Temas,Uso en la web,Resumen para indice,Observaciones
c34e3a7898dc,1885,1885-06-14,El Bidasoa,1885-06-14,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1885/1885-06-14 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual con pasajes detectados,1,1,1,3,"banda, companias, preparativos, uniformes",Integrado en Historia | Referencia localizada por OCR visual; revisar contra imagen original,Discusion sobre uniformar a la banda y noticia de companias de paisanos armados,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
46c28b2ed5da,1885,1885-06-28,El Bidasoa,1885-06-28,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1885/1885-06-28 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual con pasajes detectados,1,1,1,4,"banda, cantineras, companias, preparativos, uniformes",Integrado en Historia | Referencia localizada por OCR visual; revisar contra imagen original,Discusion sobre uniformar a la banda y noticia de companias de paisanos armados,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
d40075ea85e1,1886,1886-06-27,El Bidasoa,1886-06-27,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1886/1886-06-27 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual con pasajes detectados,1,1,1,3,"critica, decadencia percibida, mandos, programa, publico",Integrado en Historia | Referencia localizada por OCR visual; revisar contra imagen original,"Programa y cronica con ""cada vez menos gente"" ante el ""carnavalesco alarde""",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
596eaa43b211,1886,1886-07-04,El Bidasoa,1886-07-04,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1886/1886-07-04 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual con pasajes detectados,1,1,1,3,"critica, decadencia percibida, mandos, programa, publico",Integrado en Historia | Referencia localizada por OCR visual; revisar contra imagen original,"Programa y cronica con ""cada vez menos gente"" ante el ""carnavalesco alarde""",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
7f4c9828327a,1887,1887-06-19,El Bidasoa,1887-06-19,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1887/1887-06-19 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual sin pasajes detectados,1,0,0,,"carroza, juventud, memoria, preparativos",Integrado en Historia,"Nota sobre jovenes, carroza alegorica, coronas, Estado Mayor y escolta a caballo",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
3e44c1b4343c,1887,1887-07-03,El Bidasoa,1887-07-03,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1887/1887-07-03 - El Bidasoa.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual con pasajes detectados,1,1,1,3,"alarde, carroza, juventud, memoria, preparativos",Integrado en Historia | Referencia localizada por OCR visual; revisar contra imagen original,"Nota sobre jovenes, carroza alegorica, coronas, Estado Mayor y escolta a caballo",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
3b383406216c,1889,1889-06-30,El Guipuzcoano,1889-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1889/1889-06-30 - El Guipuzcoano.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual sin pasajes detectados,1,0,0,,"Pridenoa, companias historicas, composicion, mandos",Integrado en Historia y fichas de companias,"Cronica con siete companias: Miaca, Anaca, Venta, Calle, Pridenoa, Bidasoa y Veteranos",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
a386d8e04f92,1889,1889-06-30,La Voz de Guipúzcoa - Diario Republicano,1889-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1889/1889-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual sin pasajes detectados,1,0,0,,"Pridenoa, companias historicas, composicion, mandos",Integrado en Historia y fichas de companias,"Cronica con siete companias: Miaca, Anaca, Venta, Calle, Pridenoa, Bidasoa y Veteranos",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
ab4ae1d4eb6a,1889,1889-07-01,El Guipuzcoano,1889-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1889/1889-07-01 - El Guipuzcoano.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual sin pasajes detectados,2,0,0,,"Pridenoa, capitanes, companias, companias historicas, composicion, mandos",Integrado en Historia y fichas de companias | Integrado en ficha Pridenoa y datos de mandos,"Cronica con siete companias: Miaca, Anaca, Venta, Calle, Pridenoa, Bidasoa y Veteranos | Relacion de mandos de las companias y confirmacion de Pridenoa",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
1f64ac71fc6c,1889,1889-07-01,La Libertad,1889-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1889/1889-07-01 - La Libertad.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual con pasajes detectados,1,1,1,3,"Pridenoa, companias historicas, composicion, mandos, ritual",Integrado en Historia y fichas de companias | Referencia localizada por OCR visual; revisar contra imagen original,"Cronica con siete companias: Miaca, Anaca, Venta, Calle, Pridenoa, Bidasoa y Veteranos",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
974fc735f083,1889,1889-07-01,La Unión Liberal,1889-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1889/1889-07-01 - La Unión Liberal.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual con pasajes detectados,1,2,2,"1, 2","Pridenoa, alarde, companias, companias historicas, composicion, mandos",Integrado en Historia y fichas de companias | Referencia localizada por OCR visual; revisar contra imagen original,"Cronica con siete companias: Miaca, Anaca, Venta, Calle, Pridenoa, Bidasoa y Veteranos",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
5480ee647d34,1889,1889-07-01,La Voz de Guipúzcoa - Diario Republicano,1889-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1889/1889-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual sin pasajes detectados,1,0,0,,"Pridenoa, companias historicas, composicion, mandos",Integrado en Historia y fichas de companias,"Cronica con siete companias: Miaca, Anaca, Venta, Calle, Pridenoa, Bidasoa y Veteranos",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
e61154b9bb4a,1889,1889-07-02,La Voz de Guipúzcoa - Diario Republicano,1889-07-02,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1889/1889-07-02 - La Voz de Guipúzcoa - Diario Republicano.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual sin pasajes detectados,1,0,0,,"Pridenoa, companias historicas, composicion, mandos",Integrado en Historia y fichas de companias,"Cronica con siete companias: Miaca, Anaca, Venta, Calle, Pridenoa, Bidasoa y Veteranos",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
18c41ab1ab12,1889,1889-07-07,La Patria,1889-07-07,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1889/1889-07-07 - La Patria.pdf,Indice real iniciado con entrada curada,Alta: texto extraido del PDF,1,6,0,,"Pridenoa, companias, companias historicas, composicion, mandos, musica, ritual",Integrado en Historia y fichas de companias | Referencia localizada por barrido textual,"Cronica con siete companias: Miaca, Anaca, Venta, Calle, Pridenoa, Bidasoa y Veteranos",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
0768bda27def,1890,1890-06-30,La Voz de Guipúzcoa - Diario Republicano,1890-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1890/1890-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual sin pasajes detectados,1,0,0,,"cantineras, companias, general, ritual",Integrado en General e Historia,"Revista de vispera, diana, companias con cantinera, bandera, descargas y orden",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
88fcac606c2f,1890,1890-07-01,El Guipuzcoano,1890-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1890/1890-07-01 - El Guipuzcoano.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual con pasajes detectados,1,2,2,"2, 3","alarde, cantineras, companias, general, ritual",Integrado en General e Historia | Referencia localizada por OCR visual; revisar contra imagen original,"Revista de vispera, diana, companias con cantinera, bandera, descargas y orden",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
98866db4db83,1890,1890-07-01,La Libertad,1890-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1890/1890-07-01 - La Libertad.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual con pasajes detectados,1,1,1,1,"alarde, cantineras, companias, general, ritual",Integrado en General e Historia | Referencia localizada por OCR visual; revisar contra imagen original,"Revista de vispera, diana, companias con cantinera, bandera, descargas y orden",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
239379f811a7,1890,1890-07-01,La Voz de Guipúzcoa - Diario Republicano,1890-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1890/1890-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,Indice real iniciado con entrada curada,Media/baja: OCR visual con pasajes detectados,1,1,1,3,"cantineras, companias, general, mandos, ritual",Integrado en General e Historia | Referencia localizada por OCR visual; revisar contra imagen original,"Revista de vispera, diana, companias con cantinera, bandera, descargas y orden",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
8e7c91331739,1892,1892-06-08,El Correo Español,1892-06-08,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1892/1892-06-08 - El Correo Español.pdf,Catalogado con pistas automaticas pendientes de verificacion,Alta: texto extraido del PDF,0,4,0,,"companias, ritual, suspensiones/cambios",Referencia localizada por barrido textual,"Roma 24 de Mayo de 1892. fué el 4455 y Vassalli el 2000. ¡No es nada la un nutrido coro de mujeres, | corriente. Su Santidad se ha enterado cbn Que las bandean hasta los chicos del alguacil. Sais fué la | para ello cantidad alguna. Algunoií de los prin- di'l que resultó muerto el rey de Tariwa. ti, resul | tos relacionado» con este acontecimiento, ha medre de la Santísima Virgen. El Santo Padre, la visita",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
27141fd1766c,1892,1892-06-30,La Voz de Guipúzcoa - Diario Republicano,1892-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1892/1892-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado con pistas automaticas pendientes de verificacion,Media/baja: OCR visual con pasajes detectados,0,2,2,"1, 4","alarde, caballeria",Referencia localizada por OCR visual; revisar contra imagen original,"aachor Oribfen, al que ee —| - SANMARCIAL an s Za D oee o ee EE e p y en| ia ay EEE a Tagrimas de cocodrilo _ capa lul o | JEZ aa a EE informe d d Mriano re cll de San Marcial número e Bz ata Tonico T ee uee n 1 - - GRANDES ALMACENES Analiptic",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
da9ee4463218,1892,1892-07-01,La Voz de Guipúzcoa - Diario Republicano,1892-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1892/1892-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado con pistas automaticas pendientes de verificacion,Media/baja: OCR visual con pasajes detectados,0,2,2,"1, 4","alarde, cantineras",Referencia localizada por OCR visual; revisar contra imagen original,"Es que l' periódico | X el farór de EA EATZ EEE del sito de San Marcial,| Presenció este acto una concurrencia | derable | Manuel Martinez Añíbarro, EE S UN Uaameaciónes De m EKE EE Dologado Don Galo Maeso.-San Marcial Lotra 4.-San Sebaslán, E",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
0e63fe5c462a,1893,1893-06-30,La Voz de Guipúzcoa - Diario Republicano,1893-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1893/1893-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
f4bd62c74b02,1893,1893-07-01,La Voz de Guipúzcoa - Diario Republicano,1893-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1893/1893-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado con pistas automaticas pendientes de verificacion,Media/baja: OCR visual con pasajes detectados,0,1,1,1,alarde,Referencia localizada por OCR visual; revisar contra imagen original,veinmos legar el día y abricias pusrias |deseurgas resiamentarias y comenzó la GEE GEE E de inamgurar dicho ET estrmalo,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
459f41930ed3,1894,1894-06-30,La Voz de Guipúzcoa - Diario Republicano,1894-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1894/1894-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado con pistas automaticas pendientes de verificacion,Media/baja: OCR visual con pasajes detectados,0,1,1,1,alarde,Referencia localizada por OCR visual; revisar contra imagen original,"e E OEZ GE oo a earozamanales que, voeño | - br Cr p o e | ,y EA E contento 4 eo n G Gd re vortadorumento na- |coctumbre",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
250ad21db93d,1894,1894-07-01,La Voz de Guipúzcoa - Diario Republicano,1894-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1894/1894-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
05ca58c3fdf0,1895,1895-06-30,La Voz de Guipúzcoa - Diario Republicano,1895-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1895/1895-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
1aa2ffcf58d9,1895,1895-07-01,La Voz de Guipúzcoa - Diario Republicano,1895-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1895/1895-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
2317a842c481,1896,1896-06-30,La Voz de Guipúzcoa - Diario Republicano,1896-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1896/1896-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
e7bac7f915f7,1896,1896-07-01,La Voz de Guipúzcoa - Diario Republicano,1896-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1896/1896-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
6e4d3b97be20,1897,1897-06-30,La Voz de Guipúzcoa - Diario Republicano,1897-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1897/1897-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
33879af20562,1897,1897-07-02,La Voz de Guipúzcoa - Diario Republicano,1897-07-02,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1897/1897-07-02 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
69bd0cca38da,1898,1898-06-30,La Voz de Guipúzcoa - Diario Republicano,1898-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1898/1898-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
0492cdcfe4b2,1899,1899-06-30,La Voz de Guipúzcoa - Diario Republicano,1899-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1899/1899-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
9b0aec4dfa79,1899,1899-07-01,El Correo de Guipúzcoa,1899-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1899/1899-07-01 - El Correo de Guipúzcoa.pdf,Catalogado con pistas automaticas pendientes de verificacion,Media/baja: OCR visual con pasajes detectados,0,1,1,2,ritual,Referencia localizada por OCR visual; revisar contra imagen original,"- e San Marcial contra | los carabineros españoles, estos | *?",Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
7a5d1fa67466,1899,1899-07-01,La Voz de Guipúzcoa - Diario Republicano,1899-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1899/1899-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
375326eb4f67,1900,1900-06-30,La Voz de Guipúzcoa - Diario Republicano,1900-06-30,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1900/1900-06-30 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
c7c9b1c9c77d,1900,1900-07-01,La Voz de Guipúzcoa - Diario Republicano,1900-07-01,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1900/1900-07-01 - La Voz de Guipúzcoa - Diario Republicano.pdf,Catalogado; pendiente de indice humano,Media/baja: OCR visual sin pasajes detectados,0,0,0,,,,,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
baa87fe248c2,1900,1900-07-02,El Correo de Guipúzcoa,1900-07-02,Prensa o revista,/home/gaizka/Alarde/Revistas y periodicos/1900/1900-07-02 - El Correo de Guipúzcoa.pdf,Catalogado con pistas automaticas pendientes de verificacion,Media/baja: OCR visual con pasajes detectados,0,1,1,1,alarde,Referencia localizada por OCR visual; revisar contra imagen original,5»:33 pa- Í Fientas de San Pedro y San Marcial plozado par el selus!,Todos los documentos del catalogo forman parte del corpus sanmarcialero local; las pistas automaticas deben contrastarse con la fuente original.
